Time_1,Time_2,Time_3,Time_4,Time_5,Time_6
29918.6,28798.5,31089.9,28697.4,32106.5,30129.5
17477.9,17176.1,17556.3,16243.5,15887.6,19270.1
7515.27,6800.5,7163.17,6608.71,6357.58,6397.21
29139.5,28393.3,30149.2,28340.6,27851.6,28067
21117.1,20416.1,21136.3,21491.1,20654,20087.7
51061.1,50486.6,48085.3,51870.2,51153.2,52215.7
27870.3,27675.1,30229.9,26547.9,28482.6,29037.4
29246,25243.3,27198.2,25333.4,28643.9,27493.7
35596.7,34363.9,31342.3,29455.9,35753.2,32715.7
29080.3,26643.5,31621.6,27000.6,26849.9,25500.2
34077.3,31883,33786.6,32544.8,32834.1,32403.5
32219.4,29815.5,30594.9,29683.4,30488.2,24544.9
29494.5,29438.3,30573.9,28737.7,30233,29595.3
34110.6,30022.4,34302.1,31465.3,32386.4,33739.2
27344.2,27700.8,27517.5,26600.6,27358.9,29148.2
45471.1,44517.7,44131.1,43569.5,44913.6,44713.5
15940.9,15914,16423.2,14654.7,16162.8,14713.7
33749.4,33516.1,32174,34242.9,32375.1,32436.1
21497.8,18989.2,19077.3,19999.8,18528.7,19582.1
11500.8,12480,14851.8,13418.6,12015.1,14410.6
28800.4,27840.2,28824.4,31219.6,28425.1,29651.7
62.9799,159.803,86.6255,45.2187,50.1175,48.8842
7.12551,7.50278,11.34,7.24263,6.97559,7.05697
5.2033,5.18126,5.14978,5.30742,5.1155,5.16131
48863.8,49089,48977.8,49432.4,49733.2,50753.5
6353.68,4557.65,5774.95,8320.21,6952.68,10137.9
8436.17,10230.8,6540.15,6663.52,7955.68,8483.54
15780,15466.6,15536.8,15732.7,12949.2,12537.8
44421.5,43593.1,44149.7,40906.4,40158.2,45686.2
36402.4,36244.8,34263,37488.3,36191.5,37565.4
8173.86,6789.65,8278.39,9214.81,11043.4,11017.5
5853.79,5066.49,5662.34,4580.48,4301.01,3890.26
6153.79,6011.2,7792.62,8380.15,7698.89,8891.05
4.72469,4.88504,4.87405,4.74978,4.68134,3.73649
10.3876,10.32,15.1073,6.76034,10.316,10.3645
5.89315,5.86934,5.87724,5.96284,5.29272,8.78621
8.77046,5.86605,5.62831,4.64694,6.3396,7.27236
13467,13326.9,14126.6,13086.1,13703.2,16450.3
10983.4,11071.9,13010.8,13834.2,11818.2,14657.1
6333.98,6395.53,7955.65,6071.31,6076.15,6964.16
7.52303,7.09774,7.05011,7.16284,8.027,7.08872
22776,23269.6,24938.4,24736.1,21185.4,23034.5
3.66892,3.46764,3.59256,3.53682,3.58763,3.60155
1934.01,1940.27,2058.16,1594.19,1933.75,1835.89
3898.52,3796.49,3836.58,3420.86,3651.76,3654.98
5.25547,5.24828,5.25547,5.73951,5.21442,5.25524
30977.5,28328.4,30240.4,24026.6,24000.4,21533.1
5.05403,5.07463,5.04886,5.09909,5.01246,5.03983
7.0051,6.98248,7.00087,7.00939,6.94346,6.98238
8.34525,14.2432,14.1562,8.43694,5.98451,11.7518
8338.09,8055.97,7997.97,5500.82,5889.94,6352.09
33054.3,30526.8,31629.5,30237.3,34201,34304.8
8911.58,8149.94,8472.54,8898.36,8706.34,10691.6
16814.8,15251.7,12997.2,13107.2,14058.7,10791
29832.6,28967.1,29321.5,25699.9,23094.9,23384.2
31873.7,32388.9,34101.1,33748,34248.7,35624.2
24156.3,23934.3,24853.4,22934,25002.6,27398.6
13635.2,13750.7,15276.2,13876.4,14089.9,17108.3
21813.2,21426.8,22380.9,23048.1,21104,21118.8
13811.2,15492.9,16434,16869.7,15845.6,19304.6
24356.6,22728.9,25691,24150.6,26271.9,25060
42293.3,38913.9,37703.2,38280.4,30414.8,24673.4
11967.9,11199.6,13411.9,10516.8,11247,13781.7
4.43734,4.53076,7.20129,4.42805,4.37068,4.64256
2150.91,2404.89,2927.6,2259.8,4662.24,3753.7
5022.59,5165.6,5848.56,5828.39,5951.08,7138.88
12509.4,12848,13191.5,13861.5,15626.7,17153.4
33.7968,33.6565,33.7393,33.8347,33.542,33.714
7252.55,6882.16,7768.47,8019.37,9998.72,8572.25
6.89914,7.55218,5.79696,5.54186,5.4936,5.79285
10.0793,6.85329,7.12565,6.91729,7.76636,6.69431
10.1523,10.1777,10.1166,10.1816,10.0371,10.1264
179.463,322.475,173.651,190.86,182.55,180.214
46.2326,46.6221,46.1665,46.9679,45.9763,46.3543
36458.4,31486.3,34465.6,35825.2,30488.5,35213.9
20380.8,20247.2,20032.6,21047.2,21179.8,24385
5.69861,5.30975,5.60949,8.27278,5.64949,5.92451
3.33967,11.3623,11.5263,8.15138,5.3919,4.28435
5.40423,5.42808,5.2765,5.29112,5.29514,5.24787
16847.6,15266.5,19660.4,17365.9,18310.3,16263.4
41932.4,41653.1,46287,40852.9,42188.8,41872.4
4968.43,4680.08,5016.71,4559.23,4691.69,3777.7
37782.7,37336.8,38638.3,35766.7,38428.5,36261.3
7460.55,7546.49,7400.21,6252.45,8035.14,7517.08
4.93245,4.62503,4.92876,4.7562,4.88183,4.8976
5.17878,5.2083,5.19219,5.08993,5.14124,5.17334
12453.3,12157.7,13060.4,14319.1,13705.5,16635.8
13491.8,13224.4,14193.1,13993.2,13471.1,14252
5.83802,5.9245,5.93876,5.97613,5.89153,5.92367
32557,31630,32641.6,31526.4,32815.3,35195.2
9578.84,9728.6,9595.33,11433.1,11004.4,12431.1
7200.29,9240.34,9466.24,8955.99,7973.41,8659.79
524.882,573.799,466.127,410.966,501.548,553.429
16.7176,7.65587,7.72932,7.53364,7.49195,7.47675
207.695,231.772,45.6532,46.0039,75.4104,45.7441
2670.54,2367.04,2603.18,2130.33,2421.18,2807.79
8.61176,9.55112,8.36693,7.92249,8.22941,8.59251
10601.6,12107.9,11049.2,6751.55,5685.72,4866.64
21670.5,21130.8,23360.7,19759.5,20384,24109.5
9704.06,9227.66,10099.9,9629.65,10026.2,11971.4
2930.04,3076.84,3041.21,2093.18,2350.08,2679.04
27564.5,24794.1,27036.8,27418,27701.1,29973.5
49593,47872.6,48087.2,52249.1,50163.4,50000.1
1854.09,1717.63,1381.6,1581.61,1529.04,1588.03
26341,25613.9,28787.1,23512.4,22453.3,23078.6
984.077,1013.59,1176.92,784.448,776.749,781.2
39851.7,38083.9,41502.5,38402.6,40497.9,44194.7
16668.1,16677.1,18701.7,17924.1,18250.6,18228.1
1335.48,1434.51,1269.43,1062.84,1169.48,1242.4
1107.59,1129.85,1161.59,946.909,1128.59,971.972
5.24238,5.24323,5.22385,5.27401,5.21317,5.23264
30795.9,31459.5,33351.6,32410.2,29688.3,30641.5
5.48802,5.50558,5.48143,5.52435,5.39889,5.48887
66.4824,66.4017,60.5956,66.8237,54.3968,53.1403
167.808,134.131,186.758,138.701,119.905,126.82
3100.85,2398.62,3224.34,2829.73,3403.74,2675.6
4.27706,4.12478,4.34788,4.1412,4.09553,4.4204
1865.77,2129.17,1671.99,1551.73,1050.65,1428.93
5.28964,6.83777,5.53516,5.31095,5.23961,5.25919
15397.5,15157.8,15235.4,15186.3,18761.4,21281.4
5.95506,5.93098,5.93084,5.97672,5.87243,7.05309
17626.6,17654.9,20515.7,19531.4,19889,20047.8
5849.78,5076.75,5333.79,6199.9,8669.95,7277.66
9.52799,10.2232,13.4789,12.0183,7.67156,6.75542
31152.4,28598.2,28434.2,31419.2,32684.2,32171.7
8270.37,8305.79,9123.48,7931.65,9273.72,10709.8
3.78997,3.58661,3.60451,3.57232,4.07856,4.22701
22.2239,18.0982,12.8866,18.1973,12.0668,13.3821
77.0625,82.0706,61.4136,54.7172,73.5263,99.7303
8364.58,8835.97,8156.55,8502.11,10757.8,10808.8
24252.3,28148.2,23078.9,26293.4,29962.5,27675.4
3.61934,3.62181,3.71062,3.61841,6.78221,3.62452
5252.48,4759.34,4726.7,4658.29,4968.94,4415.85
14532.6,12448.4,15766.7,16297.3,21022.1,17987.7
5.23327,5.34706,5.4168,5.39695,5.25904,5.32032
14.0866,9.49376,17.5373,7.68342,9.41963,9.49008
13663,14333,14760.4,12679.3,12290.8,8542.44
7.46389,5.81535,6.16472,6.19115,5.04138,8.03019
21604.2,20167.2,20836.5,19784.7,21079.6,21803.6
35738.7,33146.9,35583.4,39863.1,36163.6,39551.4
7398.7,7265.16,7240.75,8114.35,7368.14,8727.62
12797,12351,11415.4,11391.8,10484.3,8134.85
13383.9,11120.5,13946.2,10958.6,12514.2,13591.5
116.93,160.681,105.067,92.4742,118.103,180.747
3833.85,4043.8,3456.87,3565.07,3532.16,4107.53
797.627,853.482,906.013,697.939,914.889,1015.56
5.01077,4.93849,5.01077,5.04193,4.97731,5.25828
23771.6,20169.1,22542.8,21502.3,24764.2,24762.1
27549.1,25532.7,31128.8,33111.6,32250,31562.3
8108.26,8275.17,8854,11430.8,9447.12,11539.6
8.58255,7.0596,6.03365,6.06753,8.48822,8.17643
23383.4,24372.5,27721.6,30424.9,25160.2,27214
6.16095,6.15391,6.16275,6.1842,7.92637,7.19138
7.04678,7.97222,7.02679,6.34116,6.98439,7.03031
17153,16005.2,18782.5,18794.9,13774,14119.9
1663.92,1576.25,1419.81,1346.87,1622.02,1499.58
5.62634,5.57001,5.59252,5.60387,7.38533,5.58682
8.50034,8.90077,8.48823,8.49038,8.41441,8.47567
19282.8,17514.5,18119.1,17877.9,18645.8,19068.6
16458.7,15528.1,15873.2,15540.4,13325.2,14558.4
5.95507,5.9838,5.94894,6.00692,5.90706,5.96022
6502.41,5503.9,5587.41,6616.27,8845.53,8907.52
27828.6,28167.7,30978.6,26565.4,30118.4,27744.6
4.882,4.65847,4.66429,4.65495,4.73987,4.86909
3623.08,4112.14,6189.59,7191.75,7141.14,6536.02
5.64356,4.80776,5.02993,5.07893,6.31024,11.9792
6.04437,6.05933,11.7198,6.17743,5.67587,5.72936
272.173,208.45,333.09,337.932,307.333,282.116
8.28807,6.36695,6.70764,6.26104,9.31555,6.70722
21444.7,18623,24271.2,22898.2,25658.5,25145.3
15337.6,13836.9,14652.8,12769.4,11232.7,11503.9
6850.41,6566.27,6836.15,6290.29,6650.4,8470.41
1642.73,1530.25,1843.79,2017.26,2020.06,2372.1
82.9763,31.5212,17.3554,37.7793,51.51,41.9912
6.01792,6.00834,6.01504,6.05728,5.99422,7.99117
6451.48,5814.31,5709.39,5581.41,6471.96,6001.86
40899.9,38750.2,45423.6,48955.9,44820.9,50681.9
10.7892,11.7709,4.70928,5.50549,5.77946,4.37722
20.0132,9.52607,7.10389,6.8972,7.65427,7.68067
3449.35,3578.84,4096.6,4430.48,4930.74,6378.56
3.4624,5.00615,4.58495,3.42988,3.46359,3.47743
16768.8,16838.8,16105,16067.3,17874.7,19795.6
13978.4,12678,13056.6,12827,13652.2,15795.4
6.35285,6.28327,6.11635,6.31424,6.04267,6.08698
7.49608,5.63596,5.61747,5.60496,5.56244,6.89602
10078.3,11685.5,9383.92,10544.3,10760.8,13247.7
8.98758,9.88724,3.71123,4.81707,6.16068,3.70142
6.6877,6.71789,6.71626,6.74776,6.61778,6.6686
20.7948,17.8186,18.0532,22.3668,57.5937,52.4583
